timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564607820475,126,Google Search HTTP Request,200,OK,Google Thread Group 1-14,text,true,,12670,118,2,2,http://www.google.com/,125,0,42
1564607820620,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-15,text,true,,112530,116,1,3,http://www.bing.com/,47,0,3
1564607820575,119,Google Search HTTP Request,200,OK,Google Thread Group 1-15,text,true,,12652,118,2,2,http://www.google.com/,118,0,39
1564607820720,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-16,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607820674,116,Google Search HTTP Request,200,OK,Google Thread Group 1-16,text,true,,12671,118,2,2,http://www.google.com/,115,0,39
1564607820820,68,Bing Search HTTP Request,200,OK,Bing Thread Group 2-17,text,true,,112530,116,1,3,http://www.bing.com/,48,0,3
1564607820793,116,Google Search HTTP Request,200,OK,Google Thread Group 1-17,text,true,,12623,118,2,2,http://www.google.com/,115,0,39
1564607820874,121,Google Search HTTP Request,200,OK,Google Thread Group 1-18,text,true,,12662,118,2,3,http://www.google.com/,120,0,39
1564607820919,84,Bing Search HTTP Request,200,OK,Bing Thread Group 2-18,text,true,,112530,116,1,2,http://www.bing.com/,54,0,3
1564607821019,67,Bing Search HTTP Request,200,OK,Bing Thread Group 2-19,text,true,,112530,116,1,3,http://www.bing.com/,47,0,2
1564607820974,122,Google Search HTTP Request,200,OK,Google Thread Group 1-19,text,true,,12705,118,2,2,http://www.google.com/,121,0,40
1564607821121,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-20,text,true,,112530,116,1,3,http://www.bing.com/,49,0,2
